name,mentions,images,evidence_lines,raca,classe,genero,orientacao_sexual,fonte_raca,fonte_classe,fonte_genero,fonte_orientacao_sexual,wikidata_qid,wikidata_label,wikidata_description,wikidata_score,wikidata_url,wikipedia_pt,wikipedia_en,wikidata_query,ocupacoes_wikidata,classe_ocupacional
Maurizio Lazzarato,2,['Screenshot_20251218_075418_Instagram.jpg'],['Maurizio Lazzarato'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q948834,,Q948834,Maurizio Lazzarato,French sociologist (born 1955),,https://www.wikidata.org/wiki/Q948834,https://pt.wikipedia.org/wiki/Maurizio_Lazzarato,https://en.wikipedia.org/wiki/Maurizio_Lazzarato,Maurizio Lazzarato,sociólogo; filósofo; teórico; escritor,academia/intelectual
Michel de Montaigne,2,"['Screenshot_20251218_075406_Instagram.jpg', 'Screenshot_20251218_075412_Instagram.jpg']",['Michel de Montaigne'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q41568,,Q41568,Michel de Montaigne,Filósofo renascentista francês,,https://www.wikidata.org/wiki/Q41568,https://pt.wikipedia.org/wiki/Michel_de_Montaigne,https://en.wikipedia.org/wiki/Michel_de_Montaigne,Michel de Montaigne,filósofo; tradutor; jurista; ensaísta; autobiógrafo,academia/intelectual
Rosa Luxemburgo,2,['Screenshot_20251218_075418_Instagram.jpg'],['Rosa Luxemburgo'],desconhecido,desconhecido,feminino,desconhecido,,,https://www.wikidata.org/wiki/Q7231,,Q7231,Rosa Luxemburgo,filósofa marxista polaco-alemã (1871–1919),,https://www.wikidata.org/wiki/Q7231,https://pt.wikipedia.org/wiki/Rosa_Luxemburgo,https://en.wikipedia.org/wiki/Rosa_Luxemburg,Rosa Luxemburgo,político; filósofo; revolucionário; economista; jornalista,academia/intelectual
S Eisenstadt,2,"['Screenshot_20251218_075423_Instagram.jpg', 'Screenshot_20251218_075434_Instagram.jpg']",['S Eisenstadt'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q677793,,Q677793,Shmuel Eisenstadt,Israeli sociologist (1923–2010),,https://www.wikidata.org/wiki/Q677793,https://pt.wikipedia.org/wiki/Shmuel_Eisenstadt,https://en.wikipedia.org/wiki/Shmuel_Eisenstadt,Shmuel Eisenstadt,sociólogo; professor universitário,academia/intelectual
Silvia Rivera Cusicanqui,2,['Screenshot_20251218_075434_Instagram.jpg'],['Silvia Rivera Cusicanqui'],desconhecido,desconhecido,feminino,desconhecido,,,https://www.wikidata.org/wiki/Q7517038,,Q7517038,Silvia Rivera Cusicanqui,intelectual e ativista boliviana,,https://www.wikidata.org/wiki/Q7517038,https://pt.wikipedia.org/wiki/Silvia_Rivera_Cusicanqui,https://en.wikipedia.org/wiki/Silvia_Rivera_Cusicanqui,Silvia Rivera Cusicanqui,historiador; sociólogo; professor universitário; escritor,academia/intelectual
Walter D Mignolo,2,['Screenshot_20251218_075437_Instagram.jpg'],['Walter D Mignolo'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q497968,,Q497968,Walter Mignolo,Argentine semiotician,,https://www.wikidata.org/wiki/Q497968,https://pt.wikipedia.org/wiki/Walter_Mignolo,https://en.wikipedia.org/wiki/Walter_Mignolo,Walter D. Mignolo,filósofo; professor universitário; crítico literário,academia/intelectual
Aimé Césaire,1,['Screenshot_20251218_075418_Instagram.jpg'],['Aimé Césaire'],negro,desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q223955,,https://www.wikidata.org/wiki/Q223955,,Q223955,Aimé Césaire,político francês,,https://www.wikidata.org/wiki/Q223955,https://pt.wikipedia.org/wiki/Aimé_Césaire,https://en.wikipedia.org/wiki/Aimé_Césaire,Aimé Césaire,político; poeta; escritor; dramaturgo,artes/letras
Amílcar Cabral,1,['Screenshot_20251218_075418_Instagram.jpg'],['Amílcar Cabral'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q213416,,Q213416,Amílcar Cabral,político da Guiné-Bissau e Cabo Verde,,https://www.wikidata.org/wiki/Q213416,https://pt.wikipedia.org/wiki/Amílcar_Cabral,https://en.wikipedia.org/wiki/Amílcar_Cabral,Amílcar Cabral,político; engenheiro agrícola; engenheiro; escritor; agrônomo,artes/letras
Antonio Gramsci,1,['Screenshot_20251218_075426_Instagram.jpg'],['Antonio Gramsci'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q83003,,Q83003,Antonio Gramsci,"filósofo marxista, jornalista, crítico literário, linguista, historiador e político italiano",,https://www.wikidata.org/wiki/Q83003,https://pt.wikipedia.org/wiki/Antonio_Gramsci,https://en.wikipedia.org/wiki/Antonio_Gramsci,Antonio Gramsci,filósofo; político; jornalista; escritor; economista,academia/intelectual
Arturo Escobar,1,['Screenshot_20251218_075434_Instagram.jpg'],['Arturo Escobar'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q4801729,,Q4801729,Arturo Escobar,Colombian anthropologist,,https://www.wikidata.org/wiki/Q4801729,https://pt.wikipedia.org/wiki/Arturo_Escobar,https://en.wikipedia.org/wiki/Arturo_Escobar_(anthropologist),Arturo Escobar,antropólogo; geógrafo(a),academia/intelectual
Barbara Arneil,1,['Screenshot_20251218_075409_Instagram.jpg'],['Barbara Arneil'],desconhecido,desconhecido,feminino,desconhecido,,,https://www.wikidata.org/wiki/Q115861662,,Q115861662,Barbara Arneil,British-Canadian political scientist,,https://www.wikidata.org/wiki/Q115861662,,https://en.wikipedia.org/wiki/Barbara_Arneil,Barbara Arneil,cientista político,política/militância
Bartolomé de Las Casas,1,['Screenshot_20251218_075412_Instagram.jpg'],['Bartolomé de Las Casas'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q207416,,Q207416,Bartolomé de las Casas,"Spanish Dominican friar, historian, and social reformer (1474–1566)",,https://www.wikidata.org/wiki/Q207416,https://pt.wikipedia.org/wiki/Bartolomeu_de_las_Casas,https://en.wikipedia.org/wiki/Bartolomé_de_las_Casas,Bartolomé de Las Casas,escritor; teólogo; cronista; jurista; historiador,academia/intelectual
Bjorn Wittrock,1,['Screenshot_20251218_075423_Instagram.jpg'],['Bjorn Wittrock'],desconhecido,desconhecido,desconhecido,desconhecido,,,,,,,,,,,,,,desconhecido
Catherine E Walsh,1,['Screenshot_20251218_075437_Instagram.jpg'],['Catherine E Walsh'],desconhecido,desconhecido,desconhecido,desconhecido,,,,,,,,,,,,,,desconhecido
Celso Furtado,1,['Screenshot_20251218_075418_Instagram.jpg'],['Celso Furtado'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q984416,,Q984416,Celso Furtado,economista brasileiro,,https://www.wikidata.org/wiki/Q984416,https://pt.wikipedia.org/wiki/Celso_Furtado,https://en.wikipedia.org/wiki/Celso_Furtado,Celso Furtado,economista; diplomata; político,política/militância
Chantal Mouffe,1,['Screenshot_20251218_075426_Instagram.jpg'],['Chantal Mouffe'],desconhecido,desconhecido,feminino,desconhecido,,,https://www.wikidata.org/wiki/Q236173,,Q236173,Chantal Mouffe,Belgian post-marxist political theorist (born 1943),,https://www.wikidata.org/wiki/Q236173,https://pt.wikipedia.org/wiki/Chantal_Mouffe,https://en.wikipedia.org/wiki/Chantal_Mouffe,Chantal Mouffe,cientista político; filósofo; professor universitário; ativista pelos direitos das mulheres,academia/intelectual
Daniela Coelho Dos Santos,1,['Screenshot_20251218_075434_Instagram.jpg'],['Daniela Coelho Dos Santos'],desconhecido,desconhecido,desconhecido,desconhecido,,,,,,,,,,,,,,desconhecido
David Graeber,1,['Screenshot_20251218_075409_Instagram.jpg'],['David Graeber'],judeu,desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q1174579,,https://www.wikidata.org/wiki/Q1174579,,Q1174579,David Graeber,"Autor, anarquista e antropólogo estadunidense",,https://www.wikidata.org/wiki/Q1174579,https://pt.wikipedia.org/wiki/David_Graeber,https://en.wikipedia.org/wiki/David_Graeber,David Graeber,antropólogo; professor universitário; escritor; sindicalista; social anthropologist,academia/intelectual
David James,1,['Screenshot_20251218_075409_Instagram.jpg'],['David James'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q5235553,,Q5235553,David James,British politician (1919-1986),,https://www.wikidata.org/wiki/Q5235553,,https://en.wikipedia.org/wiki/David_James_(British_MP),David James,político,política/militância
