name,mentions,images,evidence_lines,raca,classe,genero,orientacao_sexual,fonte_raca,fonte_classe,fonte_genero,fonte_orientacao_sexual
Homi K Bhabha,1,['Screenshot_20251218_075423_Instagram.jpg'],['Homi K Bhabha'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Ismail Xavier,1,['Screenshot_20251218_075421_Instagram.jpg'],['Ismail Xavier'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Jacques Derrida,1,['Screenshot_20251218_075426_Instagram.jpg'],['Jacques Derrida'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Jean-Christophe Goddard,1,['Screenshot_20251218_075434_Instagram.jpg'],['Jean-Christophe Goddard'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Johann Pall Arnason,1,['Screenshot_20251218_075423_Instagram.jpg'],['Johann Pall Arnason'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
John Locke,1,['Screenshot_20251218_075412_Instagram.jpg'],['John Locke'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
José Carlos Mariátegui,1,['Screenshot_20251218_075418_Instagram.jpg'],['José Carlos Mariátegui'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Juan Ginés de Sepúlveda,1,['Screenshot_20251218_075412_Instagram.jpg'],['Juan Ginés de Sepúlveda'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Lélia Gonzalez,1,['Screenshot_20251218_075426_Instagram.jpg'],['Lélia Gonzalez'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
María Lugones,1,['Screenshot_20251218_075434_Instagram.jpg'],['María Lugones'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Nascimento Abdias,1,['Screenshot_20251218_075434_Instagram.jpg'],['Nascimento Abdias'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Nelson Maldonado-Torres,1,['Screenshot_20251218_075434_Instagram.jpg'],['Nelson Maldonado-Torres'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Norman Ajari,1,['Screenshot_20251218_075431_Instagram.jpg'],['Norman Ajari'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Oswald de Andrade,1,['Screenshot_20251218_075423_Instagram.jpg'],['Oswald de Andrade'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Paulo Emílio Salles Gomes,1,['Screenshot_20251218_075421_Instagram.jpg'],['Paulo Emílio Salles Gomes'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Pierre Charbonnier,1,['Screenshot_20251218_075409_Instagram.jpg'],['Pierre Charbonnier'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Ramón Grosfoguel,1,['Screenshot_20251218_075434_Instagram.jpg'],['Ramón Grosfoguel'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Rita Laura Segato,1,['Screenshot_20251218_075437_Instagram.jpg'],['Rita Laura Segato'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Susan Buck-Morss,1,['Screenshot_20251218_075409_Instagram.jpg'],['Susan Buck-Morss'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Thomas Hobbes,1,['Screenshot_20251218_075409_Instagram.jpg'],['Thomas Hobbes'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Vladimir Ilitch Lenin,1,['Screenshot_20251218_075418_Instagram.jpg'],['Vladimir Ilitch Lenin'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Vladimir Lenin,1,['Screenshot_20251218_075415_Instagram.jpg'],['Vladimir Lenin'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Yuk Hui,1,['Screenshot_20251218_075409_Instagram.jpg'],['Yuk Hui'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Éric Aliez,1,['Screenshot_20251218_075418_Instagram.jpg'],['Éric Aliez'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
